id,hash,name
thompson-and-bleecker-ithaca-2,BdMKj3rHVnHxZvxe_NCDHA,Thompson and Bleecker
the-loft-ithaca,2zpObYpke5VlgflNn-mYEg,The Loft
sunset-grill-ithaca,MBISWEvAzDb710ZCyvNu2A,Sunset Grill
hai-hong-restaurant-ithaca,ptAp0HWJar6Bk18HX--UuQ,Hai Hong Restaurant
luna-inspired-street-food-ithaca-7,5HZ4FHPawNxmpH8g-mk5qw,Luna Inspired Street Food
cafe-pacific-ithaca,dFfQWqHyH_lqCpFhNgAhlQ,Cafe Pacific
old-mexico-ithaca,dhh34rRlTtGuFRDj1zgZWQ,Old Mexico
panda-tea-lounge-ithaca,BoA2QCC6GXUUYL9XPXjTDA,Panda Tea Lounge
de-tasty-hot-pot-ithaca-2,JlCzPAtL7rA5GdCmyUEPow,De Tasty Hot Pot
the-antlers-ithaca,KVPsaD2vY64UIvnNfKDHbA,The Antlers
five-guys-ithaca,Q_XaVU8MgXajaY5vAFkwNA,Five Guys
joes-restaurant-ithaca,vMB7YTcNXNiDEhUSF1SyeQ,Joe's Restaurant
koko-korean-restaurant-ithaca,XJfCTnV3W9SUkTh_3ddxkQ,Koko Korean Restaurant
kilpatricks-publick-house-ithaca,P5E6e4qHctElZuDa4uyolw,Kilpatrick's Publick House
k-house-karaoke-lounge-and-suites-ithaca,4wirGhIcs50jKMB6aLUe9Q,K-HOUSE Karaoke Lounge & Suites
taverna-banfi-ithaca,MgVcMxtMetUfujhgquaXYA,Taverna Banfi
pizza-aroma-ithaca,QggxXcppHbsFRTHOManGJA,Pizza Aroma
corelife-eatery-ithaca-2,594kvUIZoNGj3TuG1afb4w,CoreLife Eatery
souvlaki-house-ithaca,E6AZ7qymJWky85VFeeN0gg,Souvlaki House
the-state-diner-ithaca,_hmURvTcQ9qEjB_BjOR5mA,The State Diner
d-p-dough-ithaca,9wyk2kKdwhgMbh_x5P7HrQ,D P Dough
press-cafe-ithaca,_ujmzDTlKMtlnSgZ-nS-9Q,Press Cafe
luna-inspired-street-food-collegetown-ithaca,LEMfVFXQhYhnU1NVyleZuw,Luna Inspired Street Food Collegetown
lot-10-ithaca,C7SC0GWXcXmknid8ktTsaQ,Lot 10
commons-kitchen-ithaca,ABWOm4DjyOntv0Ekwq4M9g,Commons Kitchen
darlingcake-ithaca,R4fL_810SQ_gS-5XhPRWng,DarlingCake
plum-tree-restaurant-ithaca,ooSc1BXZhZgc5iw7EKt6cg,Plum Tree Restaurant
temple-of-zeus-ithaca,Bu-D_mYJWctqUsqXZAJR6w,Temple of Zeus
rulloffs-ithaca,_-OlEjtCfhW7W0L56kyiRA,Rulloff's
b?l-ithaca-ithaca-5,p_lux7JiNW6E0ab0Faa5Pg,BoL Ithaca
four-seasons-ithaca,6z325jAQeDbHMWNYWblslg,Four Seasons
